t iter dt dta diff m1 m2 ekin c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z meshposx meshvelx 
7.979999999999918 976 0.02 0.02 0.0003417711717330258 0.02713673646141691 0.004113263538583095 8.904174156427006e-06 0.498265960145392 0.4998870871067673 0.015625 0.5114401088349178 0.5007449285459118 0.015625 -0.002906710963701542 -0.002318698914871575 0 0.01917665836416171 0.01529732311235099 0 0.01985564529085548 0.01232483616075687 0 0.0192393928264859 0.01512100006165606 0 0 0 
7.999999999999917 978 0.02 0.02 0.0003455213968446032 0.02713673646252593 0.004113263537474062 8.900836036338169e-06 0.4982078032779987 0.4998406881852609 0.015625 0.5118237914227632 0.5010510395681086 0.015625 -0.002907843369667762 -0.002319946075318713 -8.673617379884035e-17 0.01918412939227454 0.01530555110983989 0 0.01985754913349651 0.01233219307507282 0 0.0192441633946823 0.01511381029984827 0 0 0 
8.019999999999918 980 0.02 0.02 0.0003267338895769269 0.02713673646312666 0.004113263536873338 8.898481468998264e-06 0.498149594361915 0.4997943133486311 0.015625 0.512207817393769 0.5013569916933703 0.015625 -0.002910445804185646 -0.002318741831489057 8.673617379884035e-17 0.01920129855028652 0.01529760626308718 0 0.01985858823020402 0.01233730324198079 0 0.01924977246838524 0.01509205553401283 0 0 0 
8.039999999999917 982 0.02 0.02 0.000298446404260867 0.02713673646104964 0.004113263538950362 8.898583880677692e-06 0.4980913712672811 0.4997479950902692 0.015625 0.5125919368966569 0.5016625705495155 0.015625 -0.002911154731691235 -0.00231591291809663 0 0.01920597514439848 0.01527894280725639 0 0.01985900331172411 0.01234179080933346 0 0.01925600956193883 0.01506324954065735 0 0 0 
8.059999999999917 984 0.02 0.02 0.000283475225859566 0.02713673646052875 0.004113263539471248 8.900985706055935e-06 0.4980331009743993 0.4997017507340679 0.015625 0.5129763677892274 0.5019676618459965 0.015625 -0.002913514644092841 -0.002312217810065964 -8.673617379884035e-17 0.01922154462852266 0.01525456482405207 0 0.01985891331789115 0.01234562940207347 0 0.01926149294903352 0.01502731483136052 0 0 0 
8.079999999999917 986 0.02 0.02 0.0002893554293247795 0.02713673646030553 0.00411326353969447 8.90539120410873e-06 0.4979748412590894 0.4996556090755623 0.015625 0.513360728898606 0.5022720756075075 0.015625 -0.002912985765496368 -0.002307082925279147 8.673617379884035e-17 0.01921805546892807 0.01522068807555121 0 0.01985775179521681 0.01234876232130974 0 0.01926129141374745 0.01498583401548142 0 0 0 
8.099999999999916 988 0.02 0.02 0.0002918721095090589 0.02713673646126885 0.004113263538731135 8.911079227866108e-06 0.4979165737965607 0.4996095874700467 0.015625 0.513745141123799 0.5025756973354039 0.015625 -0.002913373126431362 -0.00230108027577669 0 0.01922061125965158 0.01518108639481652 0 0.01985608402940025 0.012349898890536 0 0.01926166945975686 0.01493575654412714 0 0 0 
8.119999999999916 990 0.02 0.02 0.0002941082604510771 0.02713673645982689 0.004113263540173091 8.918242242671194e-06 0.4978583506077788 0.4995637184365163 0.015625 0.5141292612492362 0.5028783124871324 0.015625 -0.002911159439095146 -0.002293451676524394 0 0.0192060062718602 0.01513075758642901 0 0.01985427600922923 0.01234979997270302 0 0.01926583971868473 0.01487814215536598 0 0 0 
8.139999999999915 992 0.02 0.02 0.0002929957365105388 0.0271367364586262 0.004113263541373804 8.926043053236105e-06 0.4978000829583954 0.4995180215260294 0.015625 0.514513674698539 0.5031797920787979 0.015625 -0.002913382469171832 -0.002284845524341828 0 0.01922067246514225 0.01507397958327439 0 0.01985182937818037 0.01234842568102996 0 0.01926711417677192 0.01481279898726554 0 0 0 
8.159999999999915 994 0.02 0.02 0.0002888094342459095 0.02713673645713195 0.004113263542868056 8.934627819493227e-06 0.4977417525750273 0.4994725426843462 0.015625 0.5148985020258984 0.5034798329886011 0.015625 -0.002916519168405518 -0.002273942084160541 -8.673617379884035e-17 0.01924136636796692 0.01500204549015893 0 0.01984849192090602 0.01234633286649384 0 0.01926542973217863 0.01474180251712621 0 0 0 
