cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
109,3.0573051927669968526e-05,0.019397692102913231121,1.5779572518526390201,0.16799231480328669086,1.7913384736308357592,0.5396944637159851732,-0.042521185357759054557,-0.075174140030122335587,0.0066935252651978667873,2.4904279225454506452,0.26557771490418774496,2.8267767565510384387,0.028836528892940943569,0.30108870233602991195,3.2089736564125463936
110,3.4500358810854326255e-06,0.0093737133271007879592,1.3382152972098115828,0.12970354605651684965,1.7735719135711780492,-0.1521577154407952881,-0.14541374021648911796,-0.053744321932895425253,0.092603838677756400433,1.7908388981696015119,0.17356997321168449178,2.3734201046246301559,0.016845418690367403025,0.2300412158932789719,3.1455769091117331548
111,2.8485822550690944185e-06,0.0087938702148625241123,1.2378246416916827144,0.22021233227172531954,0.96974821351620310583,-0.027123950058575894972,0.13302551124126549276,0.025413403344291929375,0.049285127935212412476,1.5322278621902398754,0.27258538799082993043,1.2003792159078721102,0.048512272844388810988,0.21355097196586564356,0.94042833345069898332
112,5.1111183722809110796e-06,0.010685850895327515461,1.4792469462033470684,0.47889366243245679033,1.743792677278094061,0.19185226332538204974,0.04722453553734901055,0.014610692540932199851,-0.015016031739542816739,2.1881954204801323804,0.70840535519397029862,2.5795003256777375711,0.22936513871014135857,0.83509238247995998261,3.040838287421650854
113,8.7096901061543363052e-07,0.0059243134858672210838,1.5094104795592890866,0.45323289834291902167,2.0125094683029263187,0.11921535916868250538,0.0005002775025557436913,0.049267696384529796605,0.018436977961414073579,2.2783293317286616997,0.68411455898894579786,3.0377029872723491088,0.20542843914414313233,0.91213511606446695534,4.0502045290845423153
114,8.1896583410196275449e-06,0.012504290603485113814,1.2952790394175048849,0.18240026292540650887,1.1852527372633399061,0.069336172472980836523,-0.051733672356179580265,0.087406869158608957449,0.0182064780860166954,1.6777843650418724497,0.23625885028723941916,1.5352457756887656348,0.033298271241417980171,0.21619017893502220917,1.4048648624889967795
115,6.3421177970639288501e-06,0.01148282020963313152,1.4891286220376431793,0.46990165752542878419,0.18779050111345851892,0.14031699641719200256,-0.10225226949835755641,0.041618717154090732746,-0.020196877454223827186,2.2175326420065735178,0.69973947239456057989,0.27963830070125766936,0.220834797717710557,0.088242586272560763483,0.035297472589386952313
116,5.2495661298474166032e-06,0.010781477160601977278,1.5217312708814474398,0.35466305857045660188,1.7384330719536065235,0.020119360516756459867,0.19126598774764319577,0.18925163875323888774,0.001965896775868827915,2.3156947544302091124,0.5396963983333621373,2.6454311352873296492,0.12580849355754911145,0.61655807717614696806,3.0221768405541262759
117,5.4670443041840745658e-07,0.0050724915007682690182,1.5046217593077111374,0.4491530179560227487,1.1832449901496284728,0.19470959565241266476,-0.032498637450861796172,-0.053874500602407518479,0.0096111332743496862008,2.2638940294816340959,0.67580531782630193227,1.7803365509986610604,0.20174580275495532233,0.53145811042187873774,1.4000763928577835138
118,3.6658588754196361363e-06,0.009565236466173906299,1.2609020653802116563,0.26302077574715071462,1.6605463592614606583,0.35129007984020388378,-0.36131443162293447324,-0.061658290727167081036,-0.062404401358257047261,1.5899037178189190378,0.33164329297753197823,2.0937842242881306021,0.069198541519497225316,0.43675906998122016045,2.7574305247241284178
119,8.1145515137562343716e-06,0.012465947803443412287,1.2308190136832408701,0.27993628929627589752,1.8021592294026878012,0.26655366134847935378,-0.23808893240430659133,-0.034624146139312375614,0.08085482302113417008,1.5149515997852367466,0.34456158776267359345,2.218119604425661695,0.078388338245223856959,0.50448295477438054313,3.2478341679883375726
120,2.864417484632049581e-06,0.0088101351143837439844,1.5771456912363082115,0.38832968807281820212,1.6379323873358024866,0.088581600063006180057,0.098663732920176328012,0.2010645343719034972,0.028678868787659982098,2.4874071630140286437,0.61245145004125622901,2.5832587731576355239,0.15081743441705894315,0.63605732169301043566,2.6828392374051586167
121,4.1571432099586455401e-06,0.0099747524313696413201,1.7540932976222385342,0.49858068959035811707,0.31554436507191985228,0.16287843127593118475,0.028023585744553710514,-0.02844915615572147366,0.0020687015297107709533,3.0768656343190685654,0.87455592583674668372,0.55349533401948425304,0.24860365292778852098,0.15732533069027090922,0.09959218961963345329
122,1.3053723597732602184e-05,0.014606581998939525274,1.5888507867634900084,0.53318356794684984568,1.5810099751506230259,0.2310523671461599815,0.097000493220056854815,0.039512617314978931704,-0.006932796843117094987,2.5244936209488759715,0.84715386338697840074,2.5119913555841018038,0.28432308148113177859,0.84297011570398971969,2.499644302966192555
123,4.8591643289168023954e-06,0.010507296616467522166,1.5203938691766263336,0.3702520404471161819,0.63942534012286511569,0.070715634678822456016,-0.067426679960979965522,0.1015283824814711966,0.011546366886416229228,2.3116217263263347803,0.56293021802649101382,0.97217905023168427192,0.13711456952838096957,0.23674785709601761652,0.40888611967852134255
124,4.4162557598519877679e-06,0.010177830232755410989,1.5541442178027233822,0.44317499255372305722,1.9927441450076994744,0.134588007653617725,0.026617338187639956459,0.011749430604942677492,0.020059477882709595559,2.4153888179985893991,0.68875869038340264972,3.0970118271203550542,0.19642662640913874372,0.88313413161863529854,3.9710515573477058737
125,3.0754190302049620892e-06,0.00902135755327019076,1.6585750752232968352,0.57484822874908081403,0.099516966884690985506,0.27999490508007979228,0.038860003654164768094,0.029579511720786395151,-0.0034094228966344590145,2.7508913999453934451,0.95342854925933184784,0.16505657473033188976,0.33046641026024781151,0.057206707408734486231,0.0099233851257938977125
126,1.7047377140144772454e-06,0.0074106503010771349743,1.3005070768633688605,0.25582905646459319637,1.9948738567010195766,0.56586578341269355708,-0.43663525231358374379,0.058578192429616489367,-0.028113345293051473367,1.6913303848352254644,0.33270681928725265308,2.5943492513234627239,0.065462927739733875465,0.51034585442086188856,3.9795374375917251797
127,2.1099391702811034604e-06,0.0079565923609098958974,1.5074876606977383187,0.29513067629602873776,1.5543585489292199853,0.059869650953550672401,0.10309775938657118888,-0.13376082315160314762,0.015696587331344293709,2.2725329774842224495,0.44490561379639231854,2.3431779861059593983,0.087117384631090713509,0.45874045222278275746,2.4160458002198597072
128,4.6098989906297372808e-06,0.010324466039161735512,1.505939145212275676,0.49075971754218861154,0.18268529248995904468,0.044034294674957993876,-0.014535371995151992117,0.011748940903569276076,-0.015385951880519353752,2.2678790687412280214,0.73905492332242506137,0.2751138705411829144,0.24086706331193974417,0.089656815475269102667,0.033396825169388563714
